CNN DRC Violations Report
=========================
Location: x101500_y22500 | Confidence: 85.69%
Location: x103000_y100500 | Confidence: 83.85%
Location: x103000_y103500 | Confidence: 83.85%
Location: x103000_y106500 | Confidence: 83.85%
Location: x103000_y37500 | Confidence: 83.85%
Location: x103000_y40500 | Confidence: 83.85%
Location: x103000_y43500 | Confidence: 83.85%
Location: x103000_y46500 | Confidence: 83.85%
Location: x103000_y49500 | Confidence: 83.85%
Location: x103000_y52500 | Confidence: 83.85%
Location: x103000_y91500 | Confidence: 83.85%
Location: x103000_y94500 | Confidence: 83.85%
Location: x103000_y97500 | Confidence: 83.85%
Location: x119500_y100500 | Confidence: 85.69%
Location: x119500_y127500 | Confidence: 85.69%
Location: x119500_y22500 | Confidence: 85.69%
Location: x119500_y46500 | Confidence: 85.69%
Location: x119500_y73500 | Confidence: 85.69%
Location: x133000_y192000 | Confidence: 87.68%
Location: x148000_y118500 | Confidence: 93.69%
Location: x148000_y136500 | Confidence: 96.32%
Location: x148000_y30000 | Confidence: 93.69%
Location: x148000_y48000 | Confidence: 96.32%
Location: x148000_y72000 | Confidence: 93.69%
Location: x151000_y136500 | Confidence: 98.16%
Location: x151000_y147000 | Confidence: 80.37%
Location: x151000_y48000 | Confidence: 98.16%
Location: x151000_y58500 | Confidence: 80.37%
Location: x17500_y111000 | Confidence: 96.67%
Location: x19000_y100500 | Confidence: 96.53%
Location: x19000_y162000 | Confidence: 94.47%
Location: x19000_y69000 | Confidence: 82.84%
Location: x20500_y111000 | Confidence: 97.87%
Location: x20500_y151500 | Confidence: 89.92%
Location: x28000_y193500 | Confidence: 98.22%
Location: x32500_y193500 | Confidence: 96.42%
Location: x40000_y111000 | Confidence: 98.19%
Location: x41500_y25500 | Confidence: 83.93%
Location: x41500_y69000 | Confidence: 92.82%
Location: x43000_y111000 | Confidence: 94.57%
Location: x44500_y25500 | Confidence: 98.46%
Location: x44500_y69000 | Confidence: 81.02%
Location: x46000_y193500 | Confidence: 84.29%
Location: x53500_y120000 | Confidence: 85.37%
Location: x53500_y142500 | Confidence: 84.98%
Location: x53500_y39000 | Confidence: 85.37%
Location: x56500_y190500 | Confidence: 89.48%
Location: x56500_y193500 | Confidence: 93.46%
Location: x61000_y19500 | Confidence: 92.52%
Location: x61000_y22500 | Confidence: 95.00%
Location: x67000_y100500 | Confidence: 99.92%
Location: x67000_y127500 | Confidence: 97.69%
Location: x67000_y46500 | Confidence: 99.92%
Location: x67000_y73500 | Confidence: 97.69%
Location: x70000_y193500 | Confidence: 98.22%
Location: x71500_y19500 | Confidence: 94.87%
Location: x71500_y22500 | Confidence: 92.79%
Location: x73000_y100500 | Confidence: 98.50%
Location: x73000_y103500 | Confidence: 98.50%
Location: x73000_y106500 | Confidence: 98.50%
Location: x73000_y109500 | Confidence: 98.50%
Location: x73000_y34500 | Confidence: 98.50%
Location: x73000_y37500 | Confidence: 98.50%
Location: x73000_y40500 | Confidence: 98.50%
Location: x73000_y43500 | Confidence: 98.50%
Location: x73000_y46500 | Confidence: 98.50%
Location: x73000_y49500 | Confidence: 98.50%
Location: x73000_y52500 | Confidence: 98.50%
Location: x73000_y55500 | Confidence: 98.50%
Location: x73000_y88500 | Confidence: 98.50%
Location: x73000_y91500 | Confidence: 98.50%
Location: x73000_y94500 | Confidence: 98.50%
Location: x73000_y97500 | Confidence: 98.50%
Location: x74500_y193500 | Confidence: 96.42%
Location: x76000_y100500 | Confidence: 80.90%
Location: x76000_y103500 | Confidence: 80.90%
Location: x76000_y106500 | Confidence: 80.90%
Location: x76000_y109500 | Confidence: 80.90%
Location: x76000_y37500 | Confidence: 80.90%
Location: x76000_y40500 | Confidence: 80.90%
Location: x76000_y43500 | Confidence: 80.90%
Location: x76000_y46500 | Confidence: 80.90%
Location: x76000_y49500 | Confidence: 80.90%
Location: x76000_y52500 | Confidence: 80.90%
Location: x76000_y55500 | Confidence: 80.90%
Location: x76000_y91500 | Confidence: 80.90%
Location: x76000_y94500 | Confidence: 80.90%
Location: x76000_y97500 | Confidence: 80.90%
Location: x82000_y13500 | Confidence: 88.64%
Location: x91000_y19500 | Confidence: 92.34%
